CBSA_name	cbsa	yr	qtr	index_nsa	index_sa
"Abilene, TX"	10180	1975	1		
"Abilene, TX"	10180	1975	2		
"Abilene, TX"	10180	1975	3		
"Abilene, TX"	10180	1975	4		
"Abilene, TX"	10180	1976	1		
"Abilene, TX"	10180	1976	2		
"Abilene, TX"	10180	1976	3		
"Abilene, TX"	10180	1976	4		
"Abilene, TX"	10180	1977	1		
"Abilene, TX"	10180	1977	2		
"Abilene, TX"	10180	1977	3		
"Abilene, TX"	10180	1977	4		
"Abilene, TX"	10180	1978	1		
"Abilene, TX"	10180	1978	2		
"Abilene, TX"	10180	1978	3		
"Abilene, TX"	10180	1978	4		
"Abilene, TX"	10180	1979	1		
"Abilene, TX"	10180	1979	2		
"Abilene, TX"	10180	1979	3		
"Abilene, TX"	10180	1979	4		
"Abilene, TX"	10180	1980	1		
"Abilene, TX"	10180	1980	2		
"Abilene, TX"	10180	1980	3		
"Abilene, TX"	10180	1980	4		
"Abilene, TX"	10180	1981	1		
"Abilene, TX"	10180	1981	2		
"Abilene, TX"	10180	1981	3		
"Abilene, TX"	10180	1981	4		
"Abilene, TX"	10180	1982	1		
"Abilene, TX"	10180	1982	2		
"Abilene, TX"	10180	1982	3		
"Abilene, TX"	10180	1982	4		
"Abilene, TX"	10180	1983	1		
"Abilene, TX"	10180	1983	2		
"Abilene, TX"	10180	1983	3		
"Abilene, TX"	10180	1983	4		
"Abilene, TX"	10180	1984	1		
"Abilene, TX"	10180	1984	2		
"Abilene, TX"	10180	1984	3		
"Abilene, TX"	10180	1984	4		
"Abilene, TX"	10180	1985	1		
"Abilene, TX"	10180	1985	2		
"Abilene, TX"	10180	1985	3		
"Abilene, TX"	10180	1985	4		
"Abilene, TX"	10180	1986	1		
"Abilene, TX"	10180	1986	2		
"Abilene, TX"	10180	1986	3	107.31	2.76
"Abilene, TX"	10180	1986	4	95.52	2.88
"Abilene, TX"	10180	1987	1	100.66	2.79
"Abilene, TX"	10180	1987	2	99.59	2.58
"Abilene, TX"	10180	1987	3	94.02	2.84
"Abilene, TX"	10180	1987	4	91.06	3.27
"Abilene, TX"	10180	1988	1	81.44	3.15
"Abilene, TX"	10180	1988	2	88.92	2.49
"Abilene, TX"	10180	1988	3	82.8	2.37
"Abilene, TX"	10180	1988	4	84.28	2.54
"Abilene, TX"	10180	1989	1	87.11	2.56
"Abilene, TX"	10180	1989	2	80.11	2.55
"Abilene, TX"	10180	1989	3	84.36	2.6
"Abilene, TX"	10180	1989	4	75.29	2.85
"Abilene, TX"	10180	1990	1	80.33	2.63
"Abilene, TX"	10180	1990	2	80.06	2.36
"Abilene, TX"	10180	1990	3	79.7	2.55
"Abilene, TX"	10180	1990	4	81.82	2.45
"Abilene, TX"	10180	1991	1	82.94	3
"Abilene, TX"	10180	1991	2	87.07	2.5
"Abilene, TX"	10180	1991	3	87.39	2.83
"Abilene, TX"	10180	1991	4	82.98	2.21
"Abilene, TX"	10180	1992	1	91.29	2.2
"Abilene, TX"	10180	1992	2	89.85	2.28
"Abilene, TX"	10180	1992	3	90.81	2.21
"Abilene, TX"	10180	1992	4	92.08	2.09
"Abilene, TX"	10180	1993	1	93.33	2.25
